EGNR340-1,EGNR340,2,L,WED,10.0-12.0,HILDEBRAND,CAS311,12,,CE-JR:EE-SO:ME-JR,EGEE250:EGEE370:EGEE345:EGEE355:EGNR346:EGEE425:EGRS385:EGRS430:EGRS435:CSCI341:MATH308:EGEE280:EGEE210:EGNR265:MATH251:PHYS231:MATH310:PHYS232:EGEM320:EGME350:EGME337:EGME338:EGME339:EGEE365:EGME240:EGME310:EGME415:EGME425:EGRS365:EGME312:EGNR310:COMM101
EGEE250-A,EGEE250,2,L,FRI,10.0-12.0,JONES,CAS304,12,,CE-JR:EE-SO:EET-JR,EGEE370:EGNR340:EGEE345:EGEE355:EGNR346:EGEE425:EGRS385:EGRS430:EGRS435:CSCI341:MATH308:EGEE280:EGEE210:EGNR265:MATH251:PHYS231:MATH310:PHYS232:EGRS380:EGRS381:EGET310:EGRS365:EGRS480:EGRS481:MATH207:MGMT375
EGNR491-ABCDE,EGNR491,3,L,THU,17.0-20.0,DEVAPRASAD:BECKS:WEBER:HILDEBRAND:NUDURUPATI,GEN7,20,,CE-SR:EE-SR:EET-SR:ME-SR:MT-SR,EGEE320:EGEE425:EGNR495:EGRS385:EGRS430:EGRS435:EGRS460:EGRS461:EGEM220:HUMN251:EGEE330:EGEM320:EGME225:EGME337:EGEE355:EGEE365:EGME310:EGME411:EGNR310:EGRS480:EGRS481:ECON302:EGEE300:EGME431:EGME432:EGRN495:EGEE280:EGME240:EGME415:EGME425:EGRS365:EGME312:MGMT360
EGRS380-1,EGRS380,2,S,MON:FRI,16.0-17.0,DEVAPRASAD,CAS310,20,,EET-JR:MT-JR,EGEE250:EGRS381:EGEE355:EGET310:EGRS365:EGRS430:EGRS480:EGRS481:MATH207:MGMT375:EGNR310:EGME312:EGNR140:EGME275:EGME276:EGNR245:MATH112
EGRS381-1,EGRS381,1,L,MON,20.0-21.0,DEVAPRASAD,CAS125,12,,EET-JR:MT-JR,EGEE250:EGRS380:EGEE355:EGET310:EGRS365:EGRS430:EGRS480:EGRS481:MATH207:MGMT375:EGNR310:EGME312:EGNR140:EGME275:EGME276:EGNR245:MATH112
CHEM115,CHEM115,0,L,MON:TUE:WED:FRI,11.0-12.0,,,0,,,
CHEM115-L,CHEM115,0,L,WED,12.0-14.0,,,0,,,
COMM101,COMM101,0,L,MON:WED:FRI,12.0-13.0,,,0,,,
CSCI105,CSCI105,0,L,THU:FRI,14.0-15.0,,,0,,,
CSCI105-L,CSCI105,0,L,MON:TUE:WED:FRI,15.0-16.0,,,0,,,
